activity,savings_kg
Have one fewer child,58.600
Live car free,2.400
Cancel one 10h flight,1.600
Buy green energy,1.470
Switch electric car to car free,1.150
Go vegetarian,0.820
Replace typical car with hybrid,0.520
Wash clothes in cold water,0.250
Hang-dry clothes,0.210
Recycle,0.210
Upgrade light bulbs,0.100
